episode,reward,total_throughput
1035,-2000.0,51
1036,-2544.0,45
1037,-2611.0,46
1038,-2404.0,48
1039,-2734.0,46
1040,-2485.0,45
1041,-2232.0,50
1042,-3571.0,41
1043,-2623.0,45
1044,-2495.0,40
1045,-2853.0,44
1046,-2530.0,48
1047,-2523.0,48
1048,-2361.0,50
1049,-3324.0,40
1050,-1969.0,48
1051,-2791.0,40
1052,-2057.0,51
1053,-2333.0,49
1054,-2278.0,49
1055,-2469.0,52
1056,-2261.0,50
1057,-2593.0,51
1058,-2442.0,47
1059,-3384.0,37
1060,-3159.0,39
1061,-2171.0,49
1062,-2224.0,51
1063,-2715.0,45
1064,-2651.0,45
1065,-2842.0,44
1066,-2948.0,41
1067,-2862.0,45
1068,-2205.0,55
1069,-2542.0,49
1070,-2272.0,48
1071,-2239.0,50
1072,-2244.0,51
1073,-2116.0,48
1074,-2591.0,46
1075,-2717.0,40
1076,-2904.0,49
1077,-2447.0,45
1078,-2913.0,42
1079,-2930.0,40
1080,-2860.0,48
1081,-3034.0,44
1082,-2794.0,44
1083,-2192.0,52
1084,-2773.0,47
1085,-2580.0,41
1086,-2587.0,45
1087,-2336.0,50
1088,-2799.0,44
1089,-2958.0,42
1090,-2568.0,45
1091,-2394.0,48
1092,-2329.0,49
1093,-2970.0,44
1094,-2992.0,43
1095,-2614.0,48
1096,-2473.0,45
1097,-3436.0,42
1098,-2466.0,48
1099,-2630.0,45
1100,-2332.0,50
1101,-2832.0,41
1102,-2718.0,44
1103,-3227.0,35
1104,-1985.0,51
1105,-2520.0,46
1106,-2516.0,42
1107,-2486.0,41
1108,-2196.0,47
1109,-2420.0,43
1110,-1665.0,53
1111,-2526.0,43
1112,-2695.0,48
1113,-2240.0,44
1114,-2285.0,49
1115,-3153.0,35
1116,-2316.0,55
1117,-2310.0,52
1118,-2286.0,47
1119,-2888.0,44
1120,-2430.0,48
1121,-3279.0,42
1122,-2354.0,45
1123,-1514.0,58
1124,-3363.0,40
1125,-2543.0,47
1126,-1419.0,56
1127,-2158.0,45
1128,-2208.0,51
1129,-2293.0,48
1130,-2524.0,43
1131,-2244.0,47
1132,-2111.0,49
1133,-2174.0,49
1134,-2154.0,49
1135,-2822.0,42
1136,-2839.0,39
1137,-2120.0,48
1138,-2208.0,47
1139,-2154.0,49
1140,-2335.0,50
1141,-3119.0,41
1142,-1879.0,53
1143,-1723.0,57
1144,-2267.0,45
1145,-3247.0,43
1146,-2539.0,47
1147,-2727.0,48
1148,-2495.0,50
1149,-2612.0,47
1150,-3029.0,41
1151,-1786.0,51
1152,-2729.0,41
1153,-2718.0,47
1154,-2489.0,45
1155,-2278.0,47
1156,-2593.0,50
1157,-2577.0,49
1158,-2357.0,51
1159,-2585.0,46
1160,-2693.0,43
1161,-2513.0,38
1162,-2323.0,48
1163,-2386.0,44
1164,-2845.0,42
1165,-2060.0,52
1166,-2614.0,44
1167,-2480.0,42
1168,-2792.0,44
1169,-3156.0,41
1170,-2642.0,42
1171,-2371.0,44
1172,-1891.0,54
1173,-2722.0,40
1174,-2703.0,43
1175,-2309.0,47
1176,-2237.0,49
1177,-3131.0,39
1178,-2903.0,44
1179,-3270.0,34
1180,-2686.0,44
1181,-2168.0,44
1182,-3131.0,44
1183,-1942.0,56
1184,-3427.0,35
1185,-2377.0,52
1186,-2447.0,47
1187,-2673.0,40
1188,-2800.0,45
1189,-2200.0,48
1190,-2245.0,46
1191,-3246.0,37
1192,-2657.0,49
1193,-2086.0,52
1194,-2837.0,43
1195,-2368.0,45
1196,-2483.0,48
1197,-2848.0,44
1198,-2012.0,52
1199,-2784.0,45
1200,-3212.0,40
1201,-3357.0,34
1202,-3085.0,38
1203,-2950.0,38
1204,-2774.0,48
1205,-2963.0,45
1206,-2221.0,49
1207,-2899.0,45
1208,-2722.0,46
1209,-3121.0,42
1210,-2458.0,44
1211,-2850.0,47
1212,-2317.0,48
1213,-2874.0,45
1214,-2056.0,46
1215,-3068.0,40
1216,-2962.0,42
1217,-2777.0,52
1218,-2351.0,50
1219,-2648.0,43
1220,-2542.0,46
1221,-2155.0,48
1222,-2325.0,49
1223,-2353.0,50
1224,-2460.0,44
1225,-2733.0,40
1226,-2322.0,47
1227,-2523.0,48
1228,-2691.0,40
1229,-1883.0,47
1230,-2669.0,44
1231,-2448.0,43
1232,-2542.0,46
1233,-2484.0,43
1234,-2315.0,49
1235,-3092.0,41
1236,-2468.0,43
1237,-2402.0,49
1238,-2728.0,43
1239,-2554.0,45
1240,-2392.0,40
1241,-2734.0,45
1242,-3056.0,37
1243,-2625.0,43
1244,-2847.0,48
1245,-2163.0,48
1246,-1700.0,53
1247,-2891.0,42
1248,-2592.0,42
1249,-2119.0,50
1250,-2247.0,43
1251,-2173.0,48
1252,-2257.0,47
1253,-2358.0,51
1254,-1834.0,49
1255,-2311.0,45
1256,-2312.0,50
1257,-2632.0,43
1258,-2557.0,39
1259,-3260.0,36
1260,-2978.0,36
1261,-2610.0,46
1262,-2333.0,51
1263,-1964.0,50
1264,-2309.0,48
1265,-2587.0,39
1266,-1826.0,55
1267,-2385.0,47
1268,-2315.0,45
1269,-1971.0,48
1270,-2251.0,49
1271,-3115.0,45
1272,-2194.0,53
1273,-1498.0,57
1274,-3038.0,38
1275,-2948.0,43
1276,-2287.0,49
1277,-1952.0,50
1278,-1686.0,49
1279,-2161.0,43
1280,-2467.0,43
1281,-2868.0,42
1282,-2814.0,40
1283,-1875.0,51
1284,-2693.0,41
1285,-2216.0,50
1286,-2149.0,48
1287,-1930.0,42
1288,-2709.0,43
1289,-2395.0,47
1290,-2599.0,42
1291,-2223.0,40
1292,-1706.0,54
1293,-3266.0,39
1294,-2029.0,50
1295,-2119.0,50
1296,-2732.0,44
1297,-1927.0,46
1298,-2233.0,48
1299,-2314.0,44
1300,-3027.0,40
1301,-1827.0,53
1302,-2794.0,41
1303,-2416.0,46
1304,-2287.0,42
1305,-1694.0,55
1306,-2510.0,48
1307,-2515.0,41
1308,-2364.0,46
1309,-2446.0,47
1310,-2715.0,44
1311,-2623.0,44
1312,-2791.0,43
1313,-1547.0,50
1314,-2403.0,46
1315,-1569.0,53
1316,-2077.0,45
1317,-2234.0,46
1318,-1916.0,46
1319,-2783.0,38
1320,-2303.0,49
1321,-2228.0,45
1322,-2232.0,49
1323,-1908.0,50
1324,-2396.0,44
1325,-2392.0,45
1326,-2395.0,49
1327,-2191.0,49
1328,-2447.0,42
1329,-2160.0,49
1330,-2469.0,42
1331,-2372.0,44
1332,-2299.0,40
1333,-1985.0,51
1334,-1969.0,48
1335,-2154.0,47
1336,-2129.0,46
1337,-2567.0,40
1338,-1306.0,56
